,ADJDE,ADJOE,ADJ_T,BARTHAG,CONF,EFG_D,EFG_O,FTR,FTRD,G,ORB,POSTSEASON,RK,SEED,TEAM,THREEP_D,THREEP_O,TOR,TORD,TWOP_D,TWOP_O,W,WAB,LONGITUD,LATITUDE
33,85.6,100.0,59.4,0.8565,ACC,43.1,46.9,26.6,21.6,30,26.4,68,34,9.0,Virginia,29.3,30.3,20.1,19.3,42.5,47.8,23,3.8,-78.503428,38.035665
34,90.2,105.2,69.4,0.855,Amer,44.4,47.1,33.7,38.4,31,31.7,68,35,9.0,Wichita St.,30.2,32.8,17.9,20.1,43.9,45.8,23,1.9,-97.292361,37.718882
35,93.4,108.2,69.7,0.8442,B12,46.7,48.2,31.3,19.7,31,23.4,68,37,10.0,Oklahoma,33.6,31.8,16.0,16.7,44.2,48.6,19,2.1,-97.444211,35.209407
36,94.5,109.4,67.5,0.8435,MWC,46.4,51.8,36.3,26.8,32,30.7,68,38,10.0,Utah St.,32.3,32.9,18.2,17.5,44.9,53.3,26,1.2,-111.81391,41.740747999999996
37,96.1,111.1,69.3,0.8415,SEC,47.1,50.0,43.8,33.9,31,35.3,68,39,10.0,Auburn,32.5,30.6,17.9,18.7,46.2,53.3,25,4.6,-85.488258,32.599378
38,92.1,106.4,68.1,0.8396,BE,46.4,49.0,30.9,28.9,32,32.2,68,40,10.0,Xavier,30.5,31.2,19.8,18.6,46.7,50.2,19,0.3,-84.47465,39.149547
39,94.4,108.9,68.1,0.8376,P12,46.9,50.5,36.2,26.1,32,30.3,68,42,11.0,Colorado,34.2,35.1,19.2,19.4,44.8,49.1,21,0.7,-105.270823,40.008781
40,102.5,118.2,69.9,0.8373,SEC,49.4,52.7,35.4,26.4,31,35.1,68,43,11.0,LSU,34.5,32.7,17.6,16.6,47.8,54.7,21,0.9,-91.178921,30.414986
41,90.7,104.2,68.1,0.8315,P12,45.6,53.5,31.0,31.8,32,22.1,68,45,11.0,Stanford,29.6,37.3,20.7,22.5,46.3,52.1,20,-1.5,-122.167359,37.429434
42,96.5,110.6,69.5,0.8273,ACC,47.8,50.8,28.5,35.4,32,28.8,68,46,11.0,North Carolina St.,31.6,31.8,16.9,20.1,48.0,52.6,20,-0.5,-78.67451700000001,35.785111
